[32m[I 2021-12-11 00:07:41,608][0m A new study created in memory with name: no-name-084afed4-b5e2-4175-821c-296985fe5515[0m
[32m[I 2021-12-11 02:55:42,794][0m Trial 42 finished with value: -893.8921508789062 and parameters: {'r_scaling': 2.9755659710947677, 'unroll': 3, 'update_epoch': 14, 'discount': 0.9845281715865548, 'lr': 0.0003082723257663746, 'entropy': 0.040819379052518076}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:00:17,553][0m Trial 43 finished with value: -1022.2965087890625 and parameters: {'r_scaling': 1.6072324974973569, 'unroll': 2, 'update_epoch': 15, 'discount': 0.9887808583071381, 'lr': 0.0006121052799104063, 'entropy': 0.01980025802848103}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:04:31,777][0m Trial 44 finished with value: -584.1649780273438 and parameters: {'r_scaling': 4.264827045651669, 'unroll': 2, 'update_epoch': 12, 'discount': 0.9698563225905767, 'lr': 0.00040874382862445067, 'entropy': 0.0018307592547988486}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:08:52,676][0m Trial 45 finished with value: -1680.8594970703125 and parameters: {'r_scaling': 0.3237162971810897, 'unroll': 3, 'update_epoch': 11, 'discount': 0.9794685613617774, 'lr': 0.00013031627209944465, 'entropy': 0.07090765393199477}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:12:18,772][0m Trial 46 finished with value: -329.68115234375 and parameters: {'r_scaling': 1.9275459731948434, 'unroll': 1, 'update_epoch': 1, 'discount': 0.9755403523416137, 'lr': 0.0019446751414556214, 'entropy': 0.002963489198828909}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:16:16,742][0m Trial 47 finished with value: -431.527587890625 and parameters: {'r_scaling': 0.4925500080089812, 'unroll': 15, 'update_epoch': 14, 'discount': 0.923130937530317, 'lr': 0.0007209563590542273, 'entropy': 0.00033446554587279845}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:19:55,644][0m Trial 48 finished with value: -942.3533935546875 and parameters: {'r_scaling': 0.19607901053897547, 'unroll': 4, 'update_epoch': 8, 'discount': 0.9594303854495857, 'lr': 0.0011493066942846182, 'entropy': 0.010024847554458925}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:24:08,375][0m Trial 49 finished with value: -3017.43603515625 and parameters: {'r_scaling': 1.0090071421370457, 'unroll': 5, 'update_epoch': 12, 'discount': 0.9887434218816, 'lr': 0.00033768076574076786, 'entropy': 0.021354857251728615}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 03:28:11,053][0m Trial 50 finished with value: -5992.3134765625 and parameters: {'r_scaling': 0.34619494102431253, 'unroll': 5, 'update_epoch': 12, 'discount': 0.9870983747278327, 'lr': 0.0003286241063971576, 'entropy': 0.016889792515654985}. Best is trial 50 with value: -5992.3134765625.[0m
[32m[I 2021-12-11 03:31:58,114][0m Trial 51 finished with value: -849.7214965820312 and parameters: {'r_scaling': 0.4252729352371005, 'unroll': 6, 'update_epoch': 12, 'discount': 0.9882636953681023, 'lr': 0.00027926434368969735, 'entropy': 0.006454842212693404}. Best is trial 50 with value: -5992.3134765625.[0m
[32m[I 2021-12-11 03:35:54,508][0m Trial 52 finished with value: -6099.1162109375 and parameters: {'r_scaling': 0.1047587029182167, 'unroll': 5, 'update_epoch': 11, 'discount': 0.991951053124066, 'lr': 0.00035064704030197984, 'entropy': 0.024065540369869673}. Best is trial 52 with value: -6099.1162109375.[0m
[32m[I 2021-12-11 03:39:36,648][0m Trial 53 finished with value: -5860.712890625 and parameters: {'r_scaling': 0.1341001207565648, 'unroll': 7, 'update_epoch': 11, 'discount': 0.9901917391897764, 'lr': 0.00032756125532853043, 'entropy': 0.02317236310811061}. Best is trial 52 with value: -6099.1162109375.[0m
[32m[I 2021-12-11 03:43:18,535][0m Trial 54 finished with value: -6572.984375 and parameters: {'r_scaling': 0.10419457940291349, 'unroll': 7, 'update_epoch': 11, 'discount': 0.9913656473997465, 'lr': 0.00033786822470803626, 'entropy': 0.02246577476954896}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 03:46:57,381][0m Trial 55 finished with value: -5212.7626953125 and parameters: {'r_scaling': 0.09611297640004711, 'unroll': 7, 'update_epoch': 11, 'discount': 0.9945667889654796, 'lr': 0.00023069087116333865, 'entropy': 0.014717875233101427}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 03:50:22,076][0m Trial 56 finished with value: -1073.10400390625 and parameters: {'r_scaling': 0.08696406220393865, 'unroll': 9, 'update_epoch': 11, 'discount': 0.9949727254761473, 'lr': 0.0002471816342292634, 'entropy': 0.013714118827198052}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 03:54:05,320][0m Trial 57 finished with value: -5015.41064453125 and parameters: {'r_scaling': 0.1339046688982034, 'unroll': 7, 'update_epoch': 9, 'discount': 0.9917059073410576, 'lr': 0.0003637384696693615, 'entropy': 0.025606327343382293}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 03:57:51,096][0m Trial 58 finished with value: -4743.05126953125 and parameters: {'r_scaling': 0.12655268074415066, 'unroll': 7, 'update_epoch': 11, 'discount': 0.9907727079407218, 'lr': 0.00019709744257188666, 'entropy': 0.024838367692167056}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:01:08,407][0m Trial 59 finished with value: -1277.1380615234375 and parameters: {'r_scaling': 0.06525203997422807, 'unroll': 8, 'update_epoch': 10, 'discount': 0.9909662715225996, 'lr': 0.0003366387500582583, 'entropy': 0.015302062129331025}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:04:53,625][0m Trial 60 finished with value: -786.5733642578125 and parameters: {'r_scaling': 0.06870743205132097, 'unroll': 7, 'update_epoch': 10, 'discount': 0.9114395319237277, 'lr': 0.0003000131962303434, 'entropy': 0.010321913315944571}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:08:22,168][0m Trial 61 finished with value: -900.9912109375 and parameters: {'r_scaling': 0.13170932551950107, 'unroll': 8, 'update_epoch': 11, 'discount': 0.9930315445856185, 'lr': 0.00019956291078264404, 'entropy': 0.02401883520673854}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:12:08,221][0m Trial 62 finished with value: -4854.91552734375 and parameters: {'r_scaling': 0.11602996908455661, 'unroll': 6, 'update_epoch': 11, 'discount': 0.9904188196116135, 'lr': 0.00016626115259869403, 'entropy': 0.03177429281288992}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:15:49,593][0m Trial 63 finished with value: -667.2288208007812 and parameters: {'r_scaling': 0.22978551283338913, 'unroll': 6, 'update_epoch': 11, 'discount': 0.9003344920167521, 'lr': 0.0001528108228992162, 'entropy': 0.03573384965491848}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:19:13,471][0m Trial 64 finished with value: -1020.3494262695312 and parameters: {'r_scaling': 0.10550589299747148, 'unroll': 9, 'update_epoch': 12, 'discount': 0.987288898429418, 'lr': 0.00017463834183895584, 'entropy': 0.029682083354531524}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:22:57,291][0m Trial 65 finished with value: -2460.693603515625 and parameters: {'r_scaling': 0.07517681870083694, 'unroll': 6, 'update_epoch': 9, 'discount': 0.9916618073320485, 'lr': 0.00011047049493455104, 'entropy': 0.02002890499373373}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:26:14,298][0m Trial 66 finished with value: -884.82421875 and parameters: {'r_scaling': 0.11680720292273813, 'unroll': 8, 'update_epoch': 10, 'discount': 0.9829520807312164, 'lr': 0.000377001290495179, 'entropy': 0.011083614719271283}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:29:56,239][0m Trial 67 finished with value: -5625.48779296875 and parameters: {'r_scaling': 0.0501930911358302, 'unroll': 5, 'update_epoch': 7, 'discount': 0.9872814901705339, 'lr': 0.0002569006076463601, 'entropy': 0.01649405375761217}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:33:07,777][0m Trial 68 finished with value: -904.717041015625 and parameters: {'r_scaling': 0.05890325920311911, 'unroll': 10, 'update_epoch': 7, 'discount': 0.9777127088140929, 'lr': 0.0002590422369431022, 'entropy': 0.017022003308321314}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:36:44,080][0m Trial 69 finished with value: -815.4075927734375 and parameters: {'r_scaling': 0.2399354603458535, 'unroll': 7, 'update_epoch': 8, 'discount': 0.9861147674835804, 'lr': 0.0002853280669047221, 'entropy': 0.008293077129793769}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:40:18,543][0m Trial 70 finished with value: -2198.35546875 and parameters: {'r_scaling': 0.08818609614011376, 'unroll': 5, 'update_epoch': 4, 'discount': 0.9949530484754318, 'lr': 0.00021576239245375337, 'entropy': 0.013305615438027264}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:44:05,035][0m Trial 71 finished with value: -3322.878173828125 and parameters: {'r_scaling': 0.05032665145054798, 'unroll': 6, 'update_epoch': 12, 'discount': 0.9902813948115975, 'lr': 0.00034533550171639244, 'entropy': 0.028073262181101247}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:47:33,315][0m Trial 72 finished with value: -2553.053466796875 and parameters: {'r_scaling': 0.1748240390486268, 'unroll': 7, 'update_epoch': 7, 'discount': 0.9823533801175969, 'lr': 0.0002392836825233693, 'entropy': 0.03858011074525522}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:51:05,713][0m Trial 73 finished with value: -836.3919067382812 and parameters: {'r_scaling': 0.08305682706404241, 'unroll': 5, 'update_epoch': 6, 'discount': 0.9392019750454256, 'lr': 0.0003071255227226444, 'entropy': 0.01699857590285073}. Best is trial 54 with value: -6572.984375.[0m
[32m[I 2021-12-11 04:54:30,227][0m Trial 74 finished with value: -737.807373046875 and parameters: {'r_scaling': 0.3119942991226995, 'unroll': 6, 'update_epoch': 6, 'discount': 0.9859202907567998, 'lr': 0.00036686685911247623, 'entropy': 0.023306324261588532}. Best is trial 54 with value: -6572.984375.[0m
