[32m[I 2022-01-22 20:30:13,176][0m A new study created in memory with name: no-name-825e49d0-95e9-4327-ba43-857368d01008[0m
[32m[I 2022-01-22 22:24:57,257][0m Trial 33 finished with value: 97.87971496582031 and parameters: {'r_scaling': 0.09620877621029637, 'unroll': 2, 'update_epoch': 12, 'discount': 0.9370249032086108, 'lr': 0.0002697452564664804, 'entropy': 0.002618713578248006}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:28:33,768][0m Trial 34 finished with value: 133.19989013671875 and parameters: {'r_scaling': 0.17369496557755815, 'unroll': 1, 'update_epoch': 8, 'discount': 0.9443547300362659, 'lr': 0.0001915675716398377, 'entropy': 0.023665197692577813}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:31:57,448][0m Trial 35 finished with value: 99.80284881591797 and parameters: {'r_scaling': 1.3295487237501757, 'unroll': 11, 'update_epoch': 11, 'discount': 0.9132826465922161, 'lr': 0.0001291844829236364, 'entropy': 0.0492578632721966}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:35:15,953][0m Trial 36 finished with value: 96.04798889160156 and parameters: {'r_scaling': 0.48332052104856865, 'unroll': 5, 'update_epoch': 14, 'discount': 0.9250427864398346, 'lr': 0.00015798721022556534, 'entropy': 0.006239751888067717}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:38:36,940][0m Trial 37 finished with value: 107.964599609375 and parameters: {'r_scaling': 0.0860248974937068, 'unroll': 3, 'update_epoch': 7, 'discount': 0.9176026228254008, 'lr': 0.0003139482216444654, 'entropy': 0.09519565388520168}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:41:57,169][0m Trial 38 finished with value: 103.49594116210938 and parameters: {'r_scaling': 0.13926477737922396, 'unroll': 4, 'update_epoch': 15, 'discount': 0.9334597713129611, 'lr': 0.00010003673781760302, 'entropy': 0.0034188141868936543}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:45:15,147][0m Trial 39 finished with value: 101.11148071289062 and parameters: {'r_scaling': 0.2831822128422708, 'unroll': 2, 'update_epoch': 10, 'discount': 0.9572098237692732, 'lr': 0.0001251089554960866, 'entropy': 0.011562534315657501}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:48:37,321][0m Trial 40 finished with value: 102.58138275146484 and parameters: {'r_scaling': 3.2024713451879503, 'unroll': 13, 'update_epoch': 11, 'discount': 0.9047259693294483, 'lr': 0.0004497606668997017, 'entropy': 0.030684727768438634}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:52:14,823][0m Trial 41 finished with value: 114.90198516845703 and parameters: {'r_scaling': 0.5160408382550649, 'unroll': 1, 'update_epoch': 8, 'discount': 0.9264582690156533, 'lr': 0.00011940376008308143, 'entropy': 0.005539385052273829}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:55:19,287][0m Trial 42 finished with value: -136.2117156982422 and parameters: {'r_scaling': 0.36327418598125233, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9283827573514994, 'lr': 0.00014343672123208156, 'entropy': 0.018913169547046204}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 22:58:46,193][0m Trial 43 finished with value: 101.07456970214844 and parameters: {'r_scaling': 0.1900864999619587, 'unroll': 2, 'update_epoch': 9, 'discount': 0.9404394224982081, 'lr': 0.0001910515164294254, 'entropy': 0.018261530225440137}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:02:07,016][0m Trial 44 finished with value: 99.98046875 and parameters: {'r_scaling': 0.07487945099112857, 'unroll': 3, 'update_epoch': 7, 'discount': 0.9311126097598824, 'lr': 0.00014667907999543233, 'entropy': 0.01078398109881485}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:05:44,338][0m Trial 45 finished with value: -304.02276611328125 and parameters: {'r_scaling': 0.13440299182728482, 'unroll': 1, 'update_epoch': 12, 'discount': 0.9347695374802697, 'lr': 0.00017243248961728753, 'entropy': 0.017440818510277685}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:09:11,999][0m Trial 46 finished with value: 96.74585723876953 and parameters: {'r_scaling': 0.15504363475681954, 'unroll': 4, 'update_epoch': 12, 'discount': 0.9480305801369524, 'lr': 0.0001159094839929438, 'entropy': 0.02007299096203953}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:12:48,193][0m Trial 47 finished with value: -35.94632339477539 and parameters: {'r_scaling': 0.11676407912534514, 'unroll': 1, 'update_epoch': 13, 'discount': 0.9367901227781549, 'lr': 0.0001017337377104947, 'entropy': 0.03205729588848026}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:16:11,564][0m Trial 48 finished with value: 106.08665466308594 and parameters: {'r_scaling': 0.07571751327305483, 'unroll': 3, 'update_epoch': 15, 'discount': 0.9334584271367851, 'lr': 0.0002152561162166899, 'entropy': 0.060563380294287164}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:19:35,213][0m Trial 49 finished with value: 98.5463638305664 and parameters: {'r_scaling': 34.41921757427217, 'unroll': 8, 'update_epoch': 14, 'discount': 0.9175021990306177, 'lr': 0.0001714655526633112, 'entropy': 0.04509976163359856}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:22:55,007][0m Trial 50 finished with value: 103.56767272949219 and parameters: {'r_scaling': 0.7638084129874478, 'unroll': 2, 'update_epoch': 10, 'discount': 0.9541116117443846, 'lr': 0.00013448975717338866, 'entropy': 0.00752469890823815}. Best is trial 27 with value: -474.49468994140625.[0m
[32m[I 2022-01-22 23:26:30,331][0m Trial 51 finished with value: -500.1933288574219 and parameters: {'r_scaling': 0.31083410893658703, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9297705996548117, 'lr': 0.0001622768049516475, 'entropy': 0.014170404253766268}. Best is trial 51 with value: -500.1933288574219.[0m
